Equatorial Guinea," 10,099,157,269.80 "
"Bahamas, The"," 9,699,500,000.00 "
Pacific island small states," 9,573,379,122.14 "
New Caledonia," 9,435,529,927.25 "
Tajikistan," 8,133,996,647.90 "
Mauritania," 7,915,985,513.70 "
Kyrgyz Republic," 7,780,874,536.66 "
Kosovo," 7,716,925,356.13 "
Togo," 7,574,636,978.66 "
Somalia," 6,965,285,324.52 "
Bermuda," 6,881,662,000.00 "
Monaco," 6,816,219,303.26 "
Guam," 5,844,000,000.00 "
French Polynesia," 5,669,368,717.21 "
Cayman Islands," 5,608,989,195.53 "
Guyana," 5,471,256,594.72 "
Montenegro," 4,780,722,121.96 "
Barbados," 4,689,534,961.76 "
Fiji," 4,574,413,823.31 "
Virgin Islands (U.S.)," 4,204,000,000.00 "
Sierra Leone," 4,063,289,449.59 "
Eswatini," 3,984,840,580.41 "
Maldives," 3,742,769,967.43 "
Faroe Islands," 3,240,759,988.99 "
Djibouti," 3,181,071,153.66 "
Greenland," 3,075,968,328.70 "
Liberia," 3,039,982,540.00 "
Andorra," 2,891,001,149.36 "
Suriname," 2,884,248,048.49 "
Burundi," 2,780,510,624.64 "
Aruba," 2,496,648,044.69 "
Curacao," 2,496,174,735.65 "
Central African Republic," 2,326,720,920.59 "
Bhutan," 2,315,436,303.30 "
Lesotho," 2,250,717,718.47 "
Timor-Leste," 1,902,156,800.00 "
"Gambia, The"," 1,830,412,999.96 "
Cabo Verde," 1,703,698,676.70 "
St. Lucia," 1,616,772,748.15 "
Belize," 1,585,631,670.35 "
Solomon Islands," 1,545,888,426.23 "
San Marino," 1,544,713,784.68 "
Guinea-Bissau," 1,431,758,242.90 "
Antigua and Barbuda," 1,370,281,481.48 "
Comoros," 1,223,876,064.52 "
Seychelles," 1,200,634,489.35 "
Grenada," 1,043,411,111.11 "
St. Kitts and Nevis," 980,905,888.89 "
Turks and Caicos Islands," 924,583,000.00 "
Vanuatu," 896,827,873.11 "
St. Vincent and the Grenadines," 872,134,546.80 "
Samoa," 807,147,527.62 "
American Samoa," 709,000,000.00 "
Dominica," 504,214,814.81 "
Tonga," 488,829,964.07 "
Sao Tome and Principe," 472,914,469.92 "
"Micronesia, Fed. Sts."," 407,515,927.98 "
Palau," 257,700,000.00 "
Marshall Islands," 244,462,400.00 "
Kiribati," 180,911,843.64 "
Nauru," 114,626,625.55 "
Tuvalu," 55,054,710.62 "
